country_name,country_code,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021
Aruba,ABW,4.316297422,0.627471993,-2.372065243,0.421440919,0.474763597,-0.931195987,-1.028281788,3.626041414,4.257462043,,
Afghanistan,AFG,11.80418581,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955,4.975951506,0.626149149,2.302372515,,
Angola,AGO,13.48246792,10.27790492,8.777814293,7.280387304,9.353839725,30.69895786,29.84257779,19.63059436,17.07970441,22.27156431,25.75426565
Albania,ALB,3.429123247,2.031592684,1.937620802,1.625865044,3.501208355,-0.36731721,2.060598459,2.028059631,1.41109079,1.620886617,2.041471631
Andorra,AND,,,,,,,,,,,
United Arab Emirates,ARE,0.877346596,0.6622689,1.101118364,2.346268657,4.069966084,1.617488089,1.966825578,3.068633793,-1.931081148,-2.079403179,
Argentina,ARG,,,,,,,,,,,
Armenia,ARM,7.650008079,2.558020078,5.789667785,2.981308689,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608,1.211435778,7.184836294
American Samoa,ASM,,,,,,,,,,,
Antigua and Barbuda,ATG,3.456749672,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796,2.43248789,1.207157934,1.431355982,0.625989707,2.062996385
Australia,AUS,3.303850156,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873,0.846905537,2.863910422
Austria,AUT,3.286579149,2.485675622,2.000156169,1.60581183,0.896563335,0.891591753,2.081269114,1.998379814,1.530895642,1.381910634,2.766666667
Azerbaijan,AZE,7.858333333,1.066213397,2.415717453,1.373441815,4.027685737,12.44337486,12.93591842,2.268546904,2.610571828,2.75980947,6.650299127
Burundi,BDI,9.59216606,18.16104531,7.937958075,4.405352342,5.544688913,5.557689614,16.0525353,-2.814698077,-0.686772171,7.321106434,8.404538451
Belgium,BEL,3.532082107,2.839663434,1.11309594,0.340002833,0.561429153,1.973852647,2.12597086,2.053164999,1.43681957,0.740791812,2.440248511
Benin,BEN,2.704239077,6.744682533,0.428888889,-0.548757551,0.218785924,-0.794050174,1.769412474,0.644803622,-0.705026635,3.022721197,1.733539627
Burkina Faso,BFA,2.759767249,3.818152403,0.533738507,-0.258089518,0.724838981,0.441041448,1.482998972,1.955943027,-3.23338934,1.884439938,3.653532872
Bangladesh,BGD,11.39516516,6.217504221,7.530406409,6.991638892,6.19428023,5.513525727,5.702070157,5.543621395,5.591996399,5.691074747,5.545654308
Bulgaria,BGR,4.219903466,2.954568298,0.890093541,-1.418183803,-0.104633261,-0.798649886,2.061596194,2.814544738,3.103729448,1.672440969,3.297744353
Bahrain,BHR,-0.400040697,2.7573967,3.300011569,2.647553212,1.848627424,2.786793476,1.386718306,2.08766938,1.005820047,-2.317706293,-0.606319385
"Bahamas, The",BHS,3.198781417,1.97336756,0.722414785,1.513756431,1.861483029,-0.34637693,1.518207007,2.265863467,2.491235274,0.038521098,2.904912629
Bosnia and Herzegovina,BIH,3.67125,2.05267452,-0.093045684,-0.897194054,-1.036023034,-1.5841,0.810133322,1.41710814,0.562782154,-1.051296008,1.981639006
Belarus,BLR,53.22869831,59.21973602,18.31226104,18.11955435,13.53448976,11.83658077,6.031837252,4.872302206,5.59815595,5.548143575,9.460283896
Belize,BLZ,1.602056156,1.300580745,0.509747769,1.201399645,-0.861584009,0.663427168,1.147653393,0.269982623,0.187069385,0.121434645,3.235636592
Bermuda,BMU,,,,,,,,,,,
Bolivia,BOL,9.884464198,4.515602914,5.736400237,5.766600746,4.059610411,3.623214318,2.822758055,2.272059872,1.83954505,0.940742153,0.737383721
Brazil,BRA,6.636449622,5.40349914,6.204310666,6.329040155,9.029901024,8.739143523,3.44637335,3.664850284,3.732976212,3.211768038,8.301659756
Barbados,BRB,9.432202402,4.533347539,1.81410436,1.769503221,-1.112789925,1.281928131,4.66018464,3.673814104,4.100289645,,
Brunei Darussalam,BRN,0.137911563,0.111766261,0.389205053,-0.207108732,-0.488347421,-0.278693266,-1.260505646,1.025051793,-0.390522069,1.940319966,1.733413885
Bhutan,BTN,8.848985699,10.91965694,7.006666667,8.271060939,4.548143951,3.219886894,4.95508367,2.723963862,2.725821043,5.62999178,7.346838598
Botswana,BWA,8.459872334,7.536902611,5.884607071,4.402253092,3.062031696,2.814957914,3.308280768,3.238015589,2.772864429,1.890359168,7.240977656
Canada,CAN,2.912135089,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547,1.596884129,2.268225672,1.949269024,0.716999632,3.395193185
Switzerland,CHE,0.231349208,-0.692552018,-0.217323155,-0.013202539,-1.143908672,-0.434618664,0.53378784,0.936335464,0.36288618,-0.725874933,0.581814168
Channel Islands,CHI,,,,,,,,,,,
Chile,CHL,3.341216943,3.007448402,1.78955554,4.718675279,4.348773532,3.786193559,2.182718469,2.434889814,2.557544757,3.045490848,4.524568383
China,CHN,5.553898923,2.619524326,2.621050017,1.921641628,1.437023809,2.000001822,1.593136001,2.0747904,2.899234164,2.419421895,0.981015136
Cote d'Ivoire,CIV,4.912433951,1.304511199,2.581170373,0.448682077,1.251499548,0.723178458,0.685881065,0.359409031,-1.10686344,2.425006568,4.091951897
Cameroon,CMR,2.939699463,2.742534075,2.05908684,1.834130781,2.685982772,0.861740258,0.642673522,1.074299452,2.452802141,2.437608822,2.271857625
"Congo, Dem. Rep.",COD,15.31651591,9.721828063,0.808223101,1.243038898,0.744198995,2.885851073,,,,,
"Congo, Rep.",COG,1.759587043,5.010187731,4.631616197,0.912139545,3.169097968,3.190561797,0.450063823,1.152778964,2.206073058,1.795371471,1.715642755
Colombia,COL,3.415033448,3.169301888,2.016992243,2.898837878,4.989831158,7.513460246,4.314313257,3.240569329,3.523019327,2.526635001,3.495057574
Comoros,COM,1.842663008,6.314744503,-4.294873315,,,,,,,,
Cabo Verde,CPV,4.473883422,2.540396442,1.506542857,-0.238778145,0.131187999,-1.407816371,0.784415251,1.256995667,1.106666743,0.605795808,1.862152975
Costa Rica,CRI,4.87799831,4.495453144,5.231336142,4.519200985,0.801982005,-0.017478851,1.62590693,2.221114615,2.096046353,0.724911478,1.726477551
Cuba,CUB,,,,,,,,,,,
Curacao,CUW,2.332531526,3.183987463,1.332320862,1.498739696,-0.47654205,-0.047207985,1.585588017,2.583687566,2.622207834,,
Cayman Islands,CYM,1.325435758,1.188948452,2.160611468,1.273979115,-2.347527702,-0.625258359,,,,,
Cyprus,CYP,3.289449396,2.3890541,-0.399357676,-1.354988854,-2.096997691,-1.429166667,0.531766496,1.435491195,0.250370997,-0.638422798,2.446088672
Czechia,CZE,1.917219136,3.287623066,1.438297872,0.34398859,0.309364548,0.683504209,2.450533985,2.149494949,2.847875959,3.161295285,3.839844915
Germany,DEU,2.075174525,2.008490922,1.50472098,0.906797949,0.51442054,0.491748625,1.509496558,1.732167661,1.445667015,0.50668989,3.142969673
Djibouti,DJI,5.068713948,3.731209508,2.706032429,1.341864943,-0.847389734,2.738412087,0.568112117,0.14797085,3.319253727,1.777407838,
Dominica,DMA,1.131231365,1.356771478,-0.046411647,0.799250373,-0.843826985,0.141816226,0.296252889,0.989191119,1.504623539,-0.727116413,
Denmark,DNK,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154,0.25,1.14713217,0.813609467,0.758131573,0.420711974,1.85304544
Dominican Republic,DOM,5.796768092,3.694497079,4.830950967,2.998642261,0.836746347,1.614166072,3.279556947,3.56443426,1.81060377,3.781031799,8.24300348
Algeria,DZA,4.524211505,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211,2.415130941,7.226063074
Ecuador,ECU,4.474532658,5.10172181,2.721775777,3.589220166,3.966646233,1.728264633,0.417335589,-0.224103246,0.266012515,-0.338872393,0.133251386
"Egypt, Arab Rep.",EGY,10.06492599,7.111729433,9.469719811,10.07021547,10.37049034,13.81360621,29.50660839,14.40146578,9.152799593,5.04493289,5.214049405
Eritrea,ERI,,,,,,,,,,,
Spain,ESP,3.196101888,2.446127824,1.408581092,-0.151114838,-0.50036571,-0.202598,1.956076334,1.674981369,0.699518994,-0.322753017,3.09313512
Estonia,EST,4.981901315,3.933399873,2.78056659,-0.106175147,-0.492326007,0.148684908,3.417235495,3.436326884,2.277259312,-0.444531098,4.653166738
Ethiopia,ETH,33.24995988,23.60041768,7.464021929,6.890019516,9.56889956,6.628133372,10.68711503,13.83303566,15.80963217,20.35634686,26.83952216
Finland,FIN,3.416807543,2.808336226,1.478286157,1.041196212,-0.20792884,0.356684501,0.754015047,1.083820984,1.02409393,0.290554556,2.194574323
Fiji,FJI,7.278117827,3.423375234,2.913541936,0.519306475,1.374885426,3.863225382,3.347578348,4.081476376,1.773101825,-2.595243259,0.155855722
France,FRA,2.111597952,1.954195316,0.863715498,0.507758823,0.037514381,0.183334861,1.032282751,1.850815083,1.108254923,0.476498853,1.64233141
Faroe Islands,FRO,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,5.082594039,5.01850353,1.752327374,0.650284892,-0.298115837,-1.037468064,0.689027979,1.79400376,1.539071461,0.550898204,
Gabon,GAB,1.263317078,2.652418287,0.505441059,4.690457518,-0.338795189,2.106707128,2.651925831,4.749066521,2.464567562,1.17681176,
United Kingdom,GBR,3.856112447,2.573234797,2.291666667,1.451120163,0.368046842,1.008417368,2.557755776,2.292839903,1.738104601,0.989486704,2.518371096
Georgia,GEO,8.542933333,-0.943658853,-0.512058411,3.068812104,4.003578207,2.134927139,6.035317253,2.615244714,4.852898217,5.20246489,9.566914338
Ghana,GHA,8.728459371,11.18634094,11.66619231,15.48961603,17.1499695,17.45463471,12.37192155,7.808765166,7.143640033,9.887289563,9.971088675
Gibraltar,GIB,,,,,,,,,,,
Guinea,GIN,21.35046642,15.22510139,11.88789561,7.07202121,10.82068212,8.172116963,8.91452597,9.826001808,9.470779373,10.60186,12.59706951
"Gambia, The",GMB,4.795882662,4.254321998,5.699129896,5.947999357,6.808454946,7.228792721,8.034189745,6.520968239,7.115676256,5.931276366,7.370347589
Guinea-Bissau,GNB,5.046102263,2.130545803,1.207125557,-1.509244606,1.476720489,1.503120559,1.691114618,0.381324703,0.246600268,1.140009394,2.242488796
Equatorial Guinea,GNQ,4.805389222,3.656620483,2.948876946,4.309998661,1.676630853,1.411939155,0.745599218,1.349884388,1.238698602,4.769704981,
Greece,GRC,3.329853234,1.501526962,-0.921269454,-1.312260964,-1.735888048,-0.825653978,1.12125452,0.625621413,0.253007522,-1.247983556,1.22382501
Grenada,GRD,3.033472803,2.41077704,-0.043999786,-0.983603056,-0.515448031,1.650389944,0.908458256,0.804102313,0.598149765,-0.740732597,1.219511939
Greenland,GRL,,,,,,,,,,,
Guatemala,GTM,6.214123931,3.781807547,4.343371313,3.418361697,2.388720328,4.448441999,4.424536552,3.751861867,3.69998398,3.214440622,4.261051274
Guam,GUM,,,,,,,,,,,
"Hong Kong SAR, China",HKG,5.30524893,4.053909509,4.337993421,4.42364532,2.990848193,2.409307439,1.493872439,2.40613432,2.883208538,0.250962021,1.568758344
Honduras,HND,6.762279573,5.196186155,5.161898986,6.129249303,3.15783118,2.724612233,3.934360844,4.347349378,4.365871598,3.46841178,4.480879634
Croatia,HRV,2.272727273,3.412073491,2.216582064,-0.21519616,-0.464499005,-1.125,1.129372103,1.50012501,0.771820346,0.154811375,2.554506996
Haiti,HTI,6.332794838,5.018041554,4.765024048,3.4381666,6.731840697,11.50290739,10.68008872,12.48141112,18.70378257,22.79631136,16.84152402
Hungary,HUN,3.929920989,5.652145171,1.73319985,-0.227566271,-0.06164468,0.394769307,2.348242812,2.850247926,3.338586354,3.326743858,5.110965344
Indonesia,IDN,5.35604779,4.279499996,6.412513302,6.394925408,6.363121131,3.525805157,3.80879807,3.198346416,3.03058665,1.920968006,1.560129905
Isle of Man,IMN,,,,,,,,,,,
India,IND,8.911793365,9.478996914,10.01787847,6.665656719,4.906973441,4.948216341,3.328173375,3.938826467,3.729505735,6.623436776,5.131407472
Ireland,IRL,2.557188832,1.696208973,0.508714869,0.182542317,-0.289879079,0.008306338,0.340531561,0.488370168,0.939044481,-0.334584625,2.358142962
"Iran, Islamic Rep.",IRN,26.29338567,27.25681272,36.60303552,16.60655324,12.48468156,7.24542549,8.044924377,18.01411834,39.90734557,30.59413904,43.38901627
Iraq,IRQ,5.801455371,6.089096416,1.879498007,2.235974079,1.393330288,0.556521397,0.184058899,0.367441489,-0.19896538,0.574162679,6.041864891
Iceland,ISL,4.001026643,5.185899888,3.872279237,2.044614815,1.633055582,1.69692762,1.760415592,2.682917683,3.013971792,2.847924015,4.444239702
Israel,ISR,3.478572709,1.689481892,1.576211979,0.486495554,-0.634390651,-0.546034946,0.244953121,0.817323896,0.844128709,-0.5884303,1.492288454
Italy,ITA,2.780632729,3.041363332,1.219993423,0.24104743,0.0387904,-0.094016657,1.226533166,1.137487636,0.611246944,-0.137707574,1.873783258
Jamaica,JAM,7.555856466,6.873977087,9.341500766,8.274078862,3.691542289,2.351021975,4.37839865,3.736638822,3.905100009,5.226777793,5.862782428
Jordan,JOR,4.162441629,4.515229567,4.824623143,2.89947905,-0.87685136,-0.778430463,3.323894476,4.462311085,0.761514047,0.333294351,1.346093772
Japan,JPN,-0.272455616,-0.04406451,0.335037912,2.759226714,0.795279631,-0.127258844,0.484199796,0.989094598,0.468776159,-0.024995834,-0.233352779
Kazakhstan,KAZ,8.424887619,5.09791485,5.846409173,6.706578291,6.665776115,14.54602379,7.440004373,6.019130966,5.245476796,6.749001838,
Kenya,KEN,14.02249396,9.377767482,5.71749357,6.878154993,6.582174403,6.297157525,8.005722791,4.689819761,5.235859994,5.404814672,6.110909164
Kyrgyz Republic,KGZ,16.63632627,2.768442365,6.613752024,7.534247298,6.50331839,0.388838297,3.175309864,1.542661452,1.133622577,6.325422963,11.90503982
Cambodia,KHM,5.478447496,2.934316093,2.941625095,3.855688614,1.223931955,3.019139751,2.912635574,2.459085154,1.942575008,2.940295143,2.920734776
Kiribati,KIR,1.497409799,-3.045862928,-1.488059085,2.103985209,0.572015744,1.917310902,0.355520889,0.564030491,-1.813079953,,
St. Kitts and Nevis,KNA,5.835165196,0.816089282,1.10698554,0.247865392,-2.30187563,-0.687037123,0.694916712,-1.037122141,-0.329562064,-1.167245018,1.19568887
South Korea,KOR,4.025965004,2.187071044,1.301347545,1.274774464,0.706331772,0.97168574,1.944332308,1.47583935,0.383000304,0.537288023,2.498333333
Kuwait,KWT,4.839403499,3.255146003,2.682296841,2.908926729,3.271701661,3.198397767,2.171832985,0.543133148,1.091848027,2.101729548,3.423629476
Lao PDR,LAO,7.568988561,4.255126778,6.371427178,4.129243069,1.277354271,1.596912276,0.825478608,2.040392669,3.322558813,5.10407263,3.755620367
Lebanon,LBN,4.971485717,6.581474477,4.821019563,1.854604213,-3.749145248,-0.783359624,4.321352183,6.076989079,3.005389494,84.86433305,154.756096
Liberia,LBR,8.488167518,6.831787034,7.577306817,9.861112856,7.748696876,8.834248683,12.41963239,23.5635149,,,
Libya,LBY,15.51848153,6.059803922,2.605818027,,,,,,,,
St. Lucia,LCA,2.769407941,4.177635871,1.46856511,3.516955514,-0.983600953,-3.078217657,0.104262079,1.935618932,0.539087559,-1.755808335,2.410703122
Liechtenstein,LIE,,,,,,,,,,,
Sri Lanka,LKA,6.716768436,7.542913732,6.908450348,3.179002282,3.768367831,3.958888466,7.704137679,2.135037737,3.528393582,6.153945084,7.014780712
Lesotho,LSO,5.036630521,6.051436621,4.865118995,5.37028961,3.218445137,6.596504907,4.447699374,4.751803016,5.187083592,4.978096763,6.04774592
Lithuania,LTU,4.130275626,3.089982771,1.047479371,0.103758009,-0.884097406,0.905525075,3.722888623,2.697927792,2.33450938,1.19989445,4.683544209
Luxembourg,LUX,3.410683411,2.662841655,1.734039635,0.628543985,0.474743161,0.290833333,1.730799591,1.528195243,1.743320757,0.819957302,2.526920091
Latvia,LVA,4.370735599,2.257789244,-0.029454778,0.620490637,0.174242244,0.140633335,2.930363124,2.534454242,2.811409201,0.219064905,3.275829374
"Macao SAR, China",MAC,5.806246167,6.107389283,5.500577792,6.048234521,4.56056338,2.368957497,1.228124041,3.004462932,2.751930811,0.811410511,
St. Martin (French part),MAF,,,,,,,,,,,
Morocco,MAR,0.90692491,1.287122401,1.880654667,0.442310054,1.557907113,1.635311143,0.754663249,1.803916711,0.303386037,0.705968661,1.40195884
Monaco,MCO,,,,,,,,,,,
Moldova,MDA,7.687251034,4.546334274,4.597878974,5.088785546,9.676240331,6.35930898,6.570229975,3.045053973,4.837783514,3.765971222,5.10641129
Madagascar,MDG,9.482540486,5.713844342,5.826429445,6.080408111,7.404191742,6.035758582,8.609050754,8.594229589,5.610514415,4.201793122,5.812251188
Maldives,MDV,11.27341461,10.88469566,3.805630009,2.120001757,0.953206659,0.502509414,2.817473382,-0.133373386,0.220029731,-1.369774256,0.543149689
Mexico,MEX,3.407378246,4.111509811,3.806390697,4.018616081,2.72064065,2.821707847,6.04145724,4.899350154,3.635961421,3.396834156,5.689208477
Marshall Islands,MHL,,,,,,,,,,,
North Macedonia,MKD,3.904754221,3.316055667,2.785000567,-0.281705033,-0.299920476,-0.239290788,1.351618897,1.458312985,0.766439573,1.200073489,3.230749121
Mali,MLI,2.955643952,5.323128471,-0.606736356,0.883814547,1.450690576,-1.799647071,1.759857429,0.299546507,-1.658266948,0.43808894,3.925602831
Malta,MLT,2.962985282,2.375820578,1.180284364,0.310306472,1.100548264,0.642702772,1.364354482,1.157823625,1.642060018,0.638544957,1.497892179
Myanmar,MMR,5.021460146,1.467583227,5.643038834,4.953299185,9.454171895,6.928825258,4.572536553,6.872328657,8.825066968,,
Montenegro,MNE,3.450143112,4.14524725,2.205892681,-0.710514052,1.548691582,-0.271385023,2.380235991,2.611223783,0.361563705,-0.2556557,2.410801984
Mongolia,MNG,8.411214953,14.33033483,10.49065676,12.25398081,5.735682819,0.733272227,4.301431053,6.824247901,7.301069536,3.796040261,7.352812434
Northern Mariana Islands,MNP,,,,,,,,,,,
Mozambique,MOZ,11.16660561,2.60245457,4.261352509,2.559748758,3.550759674,17.41804182,15.11320739,3.9113344,2.781106312,3.141691294,5.688486991
Mauritania,MRT,5.686319596,4.902427272,4.129101738,3.534368561,3.237703083,1.48600677,2.275034573,3.048914829,2.300092621,2.385694885,3.565164847
Mauritius,MUS,6.522492549,3.852160333,3.543295739,3.21769192,1.286549708,0.977675135,3.666997027,3.216053831,0.40565519,2.580800772,4.028528882
Malawi,MWI,7.622822628,21.271265,27.28333333,23.79206495,21.86734755,21.71111321,11.54339392,12.42017811,9.370836056,8.625514697,
Malaysia,MYS,3.174470922,1.663571025,2.105012312,3.142990509,2.104389802,2.090566595,3.871201158,0.884709161,0.662891866,-1.138702154,2.477102415
Namibia,NAM,5.005595181,6.721997773,5.600925023,5.350169669,3.394015384,6.728582346,6.145799811,4.291591053,3.722394144,2.209382369,3.616905301
New Caledonia,NCL,2.428996938,1.749672346,1.27761319,0.178851061,0.570508141,0.578317436,,,,,
Niger,NER,2.94238514,0.45508982,2.29723115,-0.93028726,-0.57609037,1.653889224,2.796373189,2.96760366,-2.489792651,2.89819376,3.837868028
Nigeria,NGA,10.84002754,12.21778174,8.475827285,8.062485824,9.009387183,15.67534055,16.52353998,12.09473155,11.39679497,13.24602343,16.95284572
Nicaragua,NIC,8.082387981,7.193550533,7.135467853,6.035968618,3.997379967,3.523173176,3.850671663,4.94723728,5.376289908,3.681813416,4.928413969
Netherlands,NLD,2.341070178,2.455547653,2.506898527,0.97603508,0.600248147,0.316666667,1.381458714,1.703497947,2.633699102,1.272460378,2.675720088
Norway,NOR,1.284951588,0.696864111,2.120486204,2.041702867,2.171136654,3.55,1.875100596,2.764831345,2.167730033,1.286584907,3.483880553
Nepal,NPL,9.227075461,9.459809804,9.040163119,8.364154697,7.868908956,8.79034332,3.627096107,4.061163388,5.568685478,5.052366553,4.087910459
Nauru,NRU,0.3003003,-0.124750499,,,,,,,,,
New Zealand,NZL,4.027906674,1.059913184,1.134422664,1.227507506,0.292704628,0.646240284,1.850787675,1.598297038,1.619631902,1.7145617,3.941120608
Oman,OMN,4.042188671,2.947734953,1.045528388,1.022343145,0.065290133,1.109208058,1.597160603,0.881302104,0.133795057,-0.903874872,1.546637056
Pakistan,PAK,11.91609271,9.682351861,7.692156119,7.189384028,2.529328173,3.765119164,4.08537368,5.078057259,10.5783618,9.739993139,9.496210561
Panama,PAN,5.875802437,5.698199592,4.027159916,2.626526999,0.137492058,0.739734025,0.875585919,0.761578359,-0.355083821,-1.550275408,1.630703373
Peru,PER,3.369310953,3.611212949,2.767896661,3.411945798,3.398091947,3.557176636,2.994900458,1.50915423,2.252121914,2.002412058,4.271663815
Philippines,PHL,4.718417047,3.026963911,2.582687661,3.597823439,0.674192537,1.253698801,2.853187726,5.309346616,2.392065344,2.393162393,3.927180221
Palau,PLW,4.674698795,3.614180479,3.354810042,4.191745486,0.949040644,-1.042305334,1.417988197,2.109704641,0.267379679,0.218181818,2.612481858
Papua New Guinea,PNG,4.44083401,4.537205082,4.96031746,5.222117202,5.995957781,6.673728814,5.42204568,4.374489215,3.928672909,4.871673986,4.48359014
Poland,POL,4.239401496,3.560371517,0.991982606,0.053821313,-0.874125874,-0.664767331,2.075935537,1.812951565,2.227478809,3.374469726,5.055027047
Puerto Rico,PRI,,,,,,,,,,,
North Korea,PRK,,,,,,,,,,,
Portugal,PRT,3.653011004,2.773338541,0.274416667,-0.278153367,0.487938624,0.607397075,1.368614116,0.993715683,0.33817841,-0.01243833,1.265657191
Paraguay,PRY,8.253968254,3.67591898,2.683857387,5.028827675,3.129002745,4.086822806,3.602477413,3.975610157,2.757097276,1.767515924,4.787983101
West Bank and Gaza,PSE,2.877243585,2.779087683,1.724399336,1.7329851,1.431611458,-0.219106605,0.212570934,-0.195107774,1.580183336,-0.735332001,1.237481028
